,conditional_volatility
2021-10-08,0.006749251873811808
2021-10-11,0.0071538615472113536
2021-10-12,0.007422043496695442
2021-10-13,0.008471696649613692
2021-10-14,0.008773851983661067
2021-10-15,0.008361651577017399
2021-10-18,0.00822769130880165
2021-10-19,0.008247489627758635
2021-10-20,0.00865774433475015
2021-10-21,0.008268153749497601
2021-10-22,0.007899035325391343
2021-10-25,0.00837515103177957
2021-10-26,0.008086184161762523
2021-10-27,0.00922546169429449
2021-10-28,0.008776478411124682
2021-10-29,0.008416474622393937
2021-11-01,0.00863348940479688
2021-11-02,0.008459616231734298
2021-11-03,0.008150338301126478
2021-11-04,0.007796236311049764
2021-11-05,0.007868692264587947
2021-11-08,0.008341838891104267
2021-11-09,0.00813733331843793
2021-11-10,0.008375450949940539
2021-11-11,0.008535880463848657
2021-11-12,0.00839370397952533
2021-11-15,0.008430918774215907
2021-11-16,0.00840618323017709
2021-11-17,0.008140817769644901
2021-11-18,0.008347601212633848
2021-11-19,0.008304215399410118
2021-11-22,0.008105756650440618
2021-11-23,0.008796626590684153
2021-11-24,0.008455533215955824
2021-11-25,0.008797570024017275
2021-11-26,0.008495504674954604
2021-11-29,0.00838067972351133
2021-11-30,0.008359186915567782
2021-12-01,0.008993689773338021
2021-12-02,0.00896820034773392
2021-12-03,0.009515616561077852
2021-12-06,0.009684174285986754
2021-12-07,0.009248398201982418
2021-12-08,0.00885089766546062
2021-12-09,0.008438272379545043
2021-12-10,0.010322636719065081
2021-12-13,0.010062480787433917
2021-12-14,0.011262319667524263
2021-12-15,0.013189136292194939
2021-12-16,0.012481773735938874
2021-12-17,0.01312771720209544
2021-12-20,0.012665635977601833
2021-12-21,0.012363270765974517
2021-12-22,0.012582957937837787
2021-12-23,0.012874522849205247
2021-12-24,0.012506196273096864
2021-12-27,0.011893191204453379
2021-12-28,0.01161962464657559
2021-12-29,0.011121788249308645
2021-12-30,0.01430585026725524
2021-12-31,0.013613170294581605
2022-01-03,0.013208760068809491
2022-01-04,0.012599554319443583
2022-01-05,0.012205491928286974
2022-01-06,0.011589393071694404
2022-01-07,0.01107578797511654
2022-01-10,0.010498616344118052
2022-01-11,0.010693297258370957
2022-01-12,0.011395772662762663
2022-01-13,0.011176801317949858
2022-01-14,0.013629770973989087
2022-01-17,0.012935041330823316
2022-01-18,0.012360150286316778
2022-01-19,0.011696754350867098
2022-01-20,0.011083491615211348
2022-01-21,0.010564422051477958
2022-01-24,0.010031841198974078
2022-01-25,0.009524457938658772
2022-01-26,0.009053386494385677
2022-01-27,0.009361735989320651
2022-01-28,0.010995272912466698
2022-01-31,0.010507440842276467
2022-02-01,0.01066995993828469
2022-02-02,0.010573025949867266
2022-02-03,0.010059601188922532
2022-02-04,0.01039372626889923
2022-02-07,0.010193136140752306
2022-02-08,0.0114702280674722
2022-02-09,0.010925711887725866
2022-02-10,0.010393159605408939
2022-02-11,0.009859492734432056
2022-02-14,0.010945447651638514
2022-02-15,0.01046287740629752
2022-02-16,0.009935261896194177
2022-02-17,0.009466642310137411
2022-02-18,0.009425408998485076
2022-02-21,0.0094724918747907
2022-02-22,0.009294984312842825
2022-02-23,0.00889467203923919
2022-02-24,0.009069755972236866
2022-02-25,0.008637095976652982
2022-02-28,0.008932652757671362
2022-03-01,0.008506358079175652
2022-03-02,0.00916195890743865
2022-03-03,0.009963755940433392
2022-03-04,0.00974081153386622
2022-03-07,0.009254706155037007
2022-03-08,0.009192866647757923
2022-03-09,0.008749120164872906
2022-03-10,0.00833938560351923
2022-03-11,0.007961560886263763
2022-03-14,0.007662364608650012
2022-03-15,0.007688209728676023
2022-03-16,0.007359423556230664
2022-03-17,0.007182280580181387
2022-03-18,0.006939635748420038
2022-03-21,0.007355527981014574
2022-03-22,0.007447760937247009
2022-03-23,0.0071397098346615085
2022-03-24,0.006943630237180641
2022-03-25,0.006856316440428144
2022-03-28,0.007298108014337931
2022-03-29,0.007008621430404355
2022-03-30,0.006876747801979168
2022-03-31,0.007765274054805224
2022-04-01,0.007475522171926783
2022-04-04,0.007174170385466535
2022-04-05,0.00689097083455049
2022-04-06,0.006835780001543021
2022-04-07,0.0066929034567354325
2022-04-08,0.00660250079533633
2022-04-11,0.006403020520372718
2022-04-12,0.006312960753024445
2022-04-13,0.006416838209081191
2022-04-14,0.006198757033220698
2022-04-15,0.006403760338748111
2022-04-18,0.006523859843724844
2022-04-19,0.006952477700332029
2022-04-20,0.007621991765950901
2022-04-21,0.0073578284109526975
2022-04-22,0.007263083598540587
2022-04-25,0.007024386034520722
2022-04-26,0.006751793212384448
2022-04-27,0.00726404610562799
2022-04-28,0.006968924852335897
2022-04-29,0.006924410391472869
2022-05-02,0.007485465441074019
2022-05-03,0.007891847516376699
2022-05-04,0.007559961410151435
2022-05-05,0.007252419242444415
2022-05-06,0.0071886619781129256
2022-05-09,0.006918630363617315
2022-05-10,0.006722467870809389
2022-05-11,0.0065846866255244215
2022-05-12,0.00634741902448471
2022-05-13,0.006183957152374826
2022-05-16,0.0062338831950670545
2022-05-17,0.0060303665876913675
2022-05-18,0.005907491892185979
2022-05-19,0.006572736367449045
2022-05-20,0.007155650614414955
2022-05-23,0.006870577651183987
2022-05-24,0.006818292401274984
2022-05-25,0.006593327829234658
2022-05-26,0.006576804514872502
2022-05-27,0.007934534330837854
2022-05-30,0.007631930567746485
2022-05-31,0.007329745199986506
2022-06-01,0.007377456682178711
2022-06-02,0.008310616046819305
2022-06-03,0.008003508022901768
2022-06-06,0.007889690281948216
2022-06-07,0.008103936132060672
2022-06-08,0.008345205904335339
2022-06-09,0.007968552081768738
2022-06-10,0.007660272196982926
2022-06-13,0.007334112347017402
2022-06-14,0.007611908016218472
2022-06-15,0.007365500130000333
2022-06-16,0.007064339910704167
2022-06-17,0.007771910207849486
2022-06-20,0.007519603297959861
2022-06-21,0.007637750739000579
2022-06-22,0.007332457520367256
2022-06-23,0.007043280699213375
2022-06-24,0.006778791991829846
2022-06-27,0.006660110837579346
2022-06-28,0.006944531127985836
2022-06-29,0.007066657412151122
2022-06-30,0.006790673862726275
2022-07-01,0.0074581338428677205
2022-07-04,0.007319883453190848
2022-07-05,0.007153984006504263
2022-07-06,0.008104513479103266
2022-07-07,0.008233015297720796
2022-07-08,0.007909144302697572
2022-07-11,0.009240858615685228
2022-07-12,0.009347445152645961
2022-07-13,0.010811698191285399
2022-07-14,0.010464925712846716
2022-07-15,0.010220316986309866
2022-07-18,0.009698610545588047
2022-07-19,0.009458708545515752
2022-07-20,0.009007659809630192
2022-07-21,0.009227177877350674
2022-07-22,0.00931291797332129
2022-07-25,0.008958501537400007
2022-07-26,0.008696978872318054
2022-07-27,0.008297011458280303
2022-07-28,0.008136290519911731
2022-07-29,0.007771487824052749
2022-08-01,0.007594512342805974
2022-08-02,0.008295762913029622
2022-08-03,0.007918900407002777
2022-08-04,0.007638001251595333
2022-08-05,0.007774731450724217
2022-08-08,0.007498893326164256
2022-08-09,0.0075727724681946395
2022-08-10,0.007269829335546742
2022-08-11,0.007857439695884868
2022-08-12,0.008842748546015269
2022-08-15,0.00862809313648884
2022-08-16,0.009029420867816183
2022-08-17,0.009451896283710853
2022-08-18,0.008989603496794348
2022-08-19,0.008567447444577098
2022-08-22,0.00823053728080354
2022-08-23,0.007928789098077623
2022-08-24,0.007580924859110636
2022-08-25,0.007546180737974185
2022-08-26,0.007466122300331256
2022-08-29,0.007231353364827029
2022-08-30,0.007034347578478266
2022-08-31,0.007262513447294162
2022-09-01,0.007117148256837805
2022-09-02,0.006952375274554474
2022-09-05,0.006760789920377038
2022-09-06,0.007994760934183165
2022-09-07,0.0077163772221746675
2022-09-08,0.0074829854683694744
2022-09-09,0.007306509748259838
2022-09-12,0.0070097967933007346
2022-09-13,0.008964785292558402
2022-09-14,0.01043593305130764
2022-09-15,0.00990804254640141
2022-09-16,0.009409139837697684
2022-09-19,0.00960770562843178
2022-09-20,0.00927251340910989
2022-09-21,0.009029899740765701
2022-09-22,0.00860406355537039
2022-09-23,0.008577390631933645
2022-09-26,0.008884151503589623
2022-09-27,0.012104728214937974
2022-09-28,0.01375765970711257
2022-09-29,0.01456152992062115
2022-09-30,0.013737999756386109
2022-10-03,0.012975453638445605
2022-10-04,0.012321987075257317
2022-10-05,0.012062656662581809
2022-10-06,0.011587714497197059
2022-10-07,0.01126206537510943
2022-10-10,0.010759779450872328
2022-10-11,0.01042564632007109
2022-10-12,0.011741075029767675
2022-10-13,0.013093330840963072
2022-10-14,0.014021636292088819
2022-10-17,0.013874499885807167
2022-10-18,0.013768068752868696
2022-10-19,0.013944777562832106
2022-10-20,0.013444572475908044
2022-10-21,0.013068661141151263
2022-10-24,0.012464250709227302
2022-10-25,0.011864278411945334
2022-10-26,0.011912132598136328
2022-10-27,0.011274440636863047
2022-10-28,0.010676699957093697
2022-10-31,0.010196069357708244
2022-11-01,0.009680878917106162
2022-11-02,0.009734666601385267
2022-11-03,0.009329011541787585
2022-11-04,0.009837528185095663
2022-11-07,0.011385276323109718
2022-11-08,0.011329938328299736
2022-11-09,0.01072897087997185
2022-11-10,0.010763508064795637
2022-11-11,0.010548343619989983
2022-11-14,0.010235213662690347
2022-11-15,0.009879574627931174
2022-11-16,0.009410483821673317
2022-11-17,0.009049271743382853
2022-11-18,0.00864771394243507
2022-11-21,0.010477982827319095
2022-11-22,0.011350098244060372
2022-11-23,0.015009291353545857
2022-11-24,0.01574507944826399
2022-11-25,0.014924297389374057
2022-11-28,0.014562795975033179
2022-11-29,0.0156911205579113
2022-11-30,0.01606512208103681
2022-12-01,0.016835695771579475
2022-12-02,0.016878801572202087
2022-12-05,0.01607975320442594
2022-12-06,0.015611214743811412
2022-12-07,0.014976314047477937
2022-12-08,0.014384335306541662
2022-12-09,0.014265072996591386
2022-12-12,0.013494123317048074
2022-12-13,0.013569118125031282
2022-12-14,0.01317018029678487
2022-12-15,0.012448882917370877
2022-12-16,0.012288952716835047
2022-12-19,0.011799847416023183
2022-12-20,0.011296374945455726
2022-12-21,0.010760723269316489
2022-12-22,0.01021708140095194
2022-12-23,0.0109584903733584
2022-12-26,0.010436597375082991
2022-12-27,0.0105226624120258
2022-12-28,0.010640411846145734
2022-12-29,0.010210359330553736
2022-12-30,0.009712928140599823
2023-01-02,0.009788271194186017
2023-01-03,0.009625526375049074
2023-01-04,0.009324301158170392
2023-01-05,0.009395915370898253
2023-01-06,0.009256866915025844
2023-01-09,0.009136873843252978
2023-01-10,0.008760242317700008
2023-01-11,0.008382777633854087
2023-01-12,0.008183024395461156
2023-01-13,0.008134294834992681
2023-01-16,0.008660097965650058
2023-01-17,0.008344834281948845
2023-01-18,0.007980926289993204
2023-01-19,0.010118645525939439
2023-01-20,0.009827798349873965
2023-01-23,0.009523754130609552
2023-01-24,0.009317907343393108
2023-01-25,0.009625006656093298
2023-01-26,0.009201113974437068
2023-01-27,0.009543270370787778
2023-01-30,0.00920831669595199
2023-01-31,0.009221671728738553
2023-02-01,0.009392969079394645
2023-02-02,0.00899920748487557
2023-02-03,0.008842037759910854
2023-02-06,0.008509982421905656
2023-02-07,0.008128668581510423
2023-02-08,0.008212105468896164
